*SUMMARY : SANT7001MZ                                                              DSSAT Cropping System Model Ver. 4.0.2.000     Nov 29, 2016; 12:44:12

!IDENTIFIERS................ TREATMENT.......... SITE INFORMATION............ DATES..................................  DRY WEIGHT, YIELD AND YIELD COMPONENTS...............................  WATER...............................................  NITROGEN......................................  ORGANIC MATTER....................  PHOSPHORUS............
@   RUNNO   TRNO R# O# C# CR TNAM                FNAM     WSTA.... SOIL_ID...    SDAT    PDAT    ADAT    MDAT    HDAT  DWAP  CWAM  HWAM  HWAH   BWAH  PWAM    HWUM  H#AM    H#UM  HIAM  LAIX  IR#M  IRCM  PRCM  ETCM  EPCM  ESCM  ROCM  DRCM  SWXM  NI#M  NICM  NFXM  NUCM  NLCM  NIAM  CNAM  GNAM  RECM  ONTAM   ONAM   OCTAM    OCAM  PI#M  PICM  PUPC  SPAM
       18      2  1  1  0 MZ SIMPLE TEMPLAT EXPE SANT0101 SANT7001 IB00000001 1977228 1977288 1977350 1978042 1978042   -99 14423  6756  6756      0  9027  0.3325  2032   290.3  0.47   3.3     0     0   703   610   339   271   182    54   134     1    50     0   128     0    29    98    68     0  20699  20699  212327  212327     0     0     0     0
       19      2  1  1  0 MZ SIMPLE TEMPLAT EXPE SANT0101 SANT7001 IB00000001 1978228 1978288 1978354 1979039 1979039   -99 15122  7327  7327      0  9954  0.2582  2838   405.4  0.48   3.2     0     0   689   587   304   284   150   133    96     1    50     0   127     1    28   102    75     0  20699  20699  212316  212316     0     0     0     0
       20      2  1  1  0 MZ SIMPLE TEMPLAT EXPE SANT0101 SANT7001 IB00000001 1979228 1979288 1979358 1980045 1980045   -99 15578  8378  8378      0 11030  0.2611  3209   458.5  0.54   3.1     0     0   554   568   329   239   111    51   100     1    50     0   137     0    28   110    85     0  20691  20691  212219  212219     0     0     0     0
       21      3  1  1  0 MZ SIMPLE TEMPLAT EXPE SANT0101 SANT7001 IB00000001 1970228 1970288 1970359 1971053 1971053   -99 14001  8631  8631      0 10684  0.3611  2390   341.5  0.62   2.3     0     0   776   590   314   276   200    83   180     1   100     0   168     0    29   131   110     0  20689  20689  212111  212111     0     0     0     0
       22      3  1  1  0 MZ SIMPLE TEMPLAT EXPE SANT0101 SANT7001 IB00000001 1971228 1971288 1971351 1972034 1972034   -99 14163  7508  7508      0  9937  0.2560  2933   419.0  0.53   2.4     0     0   519   535   307   228   113    45   103     1   100     0   151     0    27   118    95     0  20706  20706  212346  212346     0     0     0     0
       23      3  1  1  0 MZ SIMPLE TEMPLAT EXPE SANT0101 SANT7001 IB00000001 1972228 1972288 1972356 1973045 1973045   -99 14426  7835  7835      0 10198  0.3146  2491   355.8  0.54   3.1     0     0   684   604   329   275   161    78   118     1   100     0   152     0    27   116    91     0  20704  20704  212361  212361     0     0     0     0
       24      3  1  1  0 MZ SIMPLE TEMPLAT EXPE SANT0101 SANT7001 IB00000001 1973228 1973288 1973363 1974055 1974055   -99 14761  8497  8497      0 10832  0.3180  2672   381.8  0.58   3.2     0     0   627   597   347   250   153    46   107     1   100     0   162     0    28   121    99     0  20700  20700  212334  212334     0     0     0     0
       25      3  1  1  0 MZ SIMPLE TEMPLAT EXPE SANT0101 SANT7001 IB00000001 1974228 1974288 1974361 1975051 1975051   -99 13344  6336  6336      0  8764  0.2077  3050   435.7  0.47   3.3     0     0   499   504   293   211   112    38   122     1   100     0   144     0    32   108    80     0  20707  20707  212506  212506     0     0     0     0
       26      3  1  1  0 MZ SIMPLE TEMPLAT EXPE SANT0101 SANT7001 IB00000001 1975228 1975288 1975356 1976044 1976044   -99 12294  6699  6699      0  8175  0.3042  2202   314.6  0.54   3.3     0     0   505   544   296   248   100    42    96     1   100     0   123     0    31    93    71     0  20707  20707  212462  212462     0     0     0     0
       27      3  1  1  0 MZ SIMPLE TEMPLAT EXPE SANT0101 SANT7001 IB00000001 1976228 1976288 1976360 1977048 1977048   -99 16385  8832  8832      0 11365  0.3005  2939   419.9  0.54   3.3     0     0   855   662   376   286   220    66   184     1   100     0   152     0    28   118    88     0  20675  20675  211996  211996     0     0     0     0
       28      3  1  1  0 MZ SIMPLE TEMPLAT EXPE SANT0101 SANT7001 IB00000001 1977228 1977288 1977350 1978042 1978042   -99 15943  7760  7760      0 10161  0.3303  2349   335.6  0.49   3.6     0     0   703   614   356   258   183    54   128     1   100     0   151     0    29   119    87     0  20700  20700  212333  212333     0     0     0     0
       29      3  1  1  0 MZ SIMPLE TEMPLAT EXPE SANT0101 SANT7001 IB00000001 1978228 1978288 1978354 1979039 1979039   -99 16749  8203  8203      0 11141  0.2544  3225   460.7  0.49   3.6     0     0   689   587   314   274   150   133    95     1   100     0   156     1    28   128    97     0  20700  20700  212320  212320     0     0     0     0
       30      3  1  1  0 MZ SIMPLE TEMPLAT EXPE SANT0101 SANT7001 IB00000001 1979228 1979288 1979358 1980045 1980045   -99 16692  9141  9141      0 12024  0.2684  3405   486.5  0.55   3.3     0     0   554   569   340   229   111    51    99     1   100     0   166     0    28   134   108     0  20692  20692  212233  212233     0     0     0     0
