*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Oct 18, 2016; 16:14:02

*RUN   1        : SIMPLE TEMPLAT EXPERIMEN
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : SANT7001 MZ                                                   
 TREATMENT  1   : SIMPLE TEMPLAT EXPERIMEN

@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD   RL1D   RL2D   RL3D   RL4D   RL5D   RL6D   RL7D   RL8D   RL9D   RL10   CDAD   LDAD   SDAD   SNW0C   SNW1C
 1976 314    86    26    6.0      1   0.18     73     14      0    108     87      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.36   0.00   0.00      0      0    244.9   0.00   0.00   0.32   0.34   0.91   0.67   0.02   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       2
 1976 315    87    27    6.0      1   0.21     92     14      0    126    106      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.29   0.00   0.00      0      0    234.0   0.00   0.00   0.33   0.37   1.04   0.80   0.04   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       3
 1976 316    88    28    7.0      1   0.25    108     14      0    139    122      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.39   0.00   0.00      0      0    226.0   0.00   0.00   0.34   0.39   1.12   0.88   0.06   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       3
 1976 317    89    29    7.0      1   0.28    125     14      0    169    139      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.43   0.00   0.00      0      0    219.4   0.00   0.00   0.35   0.44   1.31   1.07   0.11   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       4
 1976 318    90    30    7.0      2   0.32    142     14      0    209    156      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.45   0.00   0.00      0      0    228.4   0.00   0.00   0.37   0.50   1.53   1.32   0.21   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       5
 1976 319    91    31    8.0      2   0.38    175     14      0    246    189      0    0.0  0.000      0      0  0.000  0.000  0.005  0.000   3.22   0.00   0.00      0      0    218.8   0.00   0.00   0.39   0.55   1.72   1.54   0.33   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       6
 1976 320    92    32    8.0      2   0.44    207     14      0    261    221      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.27   0.00   0.00      0      0    211.3   0.00   0.00   0.41   0.57   1.79   1.63   0.40   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       7
 1976 321    93    33    8.0      2   0.49    240     14      0    272    254      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.80   0.00   0.00      0      0    204.9   0.00   0.00   0.42   0.57   1.84   1.68   0.44   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       8
 1976 322    94    34    9.0      2   0.54    270     14      0    290    284      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.73   0.00   0.00      0      0    200.0   0.00   0.00   0.44   0.57   1.91   1.78   0.54   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0      10
 1976 323    95    35    9.0      3   0.59    305     14      0    357    319      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   3.65   0.00   0.00      0      0    193.7   0.00   0.00   0.45   0.59   2.13   2.13   0.91   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0      11
 1976 324    96    36    9.0      3   0.67    355     14      0    428    369      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   3.56   0.00   0.00      0      0    188.0   0.00   0.00   0.47   0.62   2.29   2.48   1.31   0.06   0.00   0.00   0.00   0.00   0.00      0      0      0       0      13
 1976 325    97    37   10.0      3   0.75    411     16      0    479    427      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   3.51   0.00   0.00      0      0    182.6   0.00   0.00   0.49   0.65   2.31   2.71   1.61   0.16   0.00   0.00   0.00   0.00   0.00      0      0      0       0      15
 1976 326    98    38   10.0      3   0.81    452     17      0    564    469      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   3.47   0.00   0.00      0      0    179.0   0.00   0.00   0.50   0.70   2.35   3.04   2.10   0.41   0.00   0.00   0.00   0.00   0.00      0      0      0       0      18
 1976 327    99    39   10.0      3   0.87    495     19      0    655    514      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   3.43   0.00   0.00      0      0    175.7   0.00   0.00   0.51   0.77   2.41   3.30   2.60   0.78   0.00   0.00   0.00   0.00   0.00      0      0      0       0      20
 1976 328   100    40   10.0      3   0.93    541     21      0    701    562      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   3.40   0.00   0.00      0      0    172.4   0.00   0.00   0.52   0.81   2.45   3.37   2.83   1.02   0.00   0.00   0.00   0.00   0.00      0      0      0       0      24
 1976 329   101    41   11.0      3   1.02    602     26      0    765    628      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   3.30   0.00   0.00      0      0    168.7   0.00   0.00   0.54   0.88   2.51   3.43   3.13   1.43   0.00   0.00   0.00   0.00   0.00      0      0      0       0      27
 1976 330   102    42   11.0      3   1.10    666     33      0    861    698      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   3.13   0.00   0.00      0      0    165.3   0.00   0.00   0.55   1.01   2.63   3.50   3.48   2.15   0.00   0.00   0.00   0.00   0.00      0      0      0       0      31
 1976 331   103    43   11.0      3   1.22    754     45      0    945    799      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   2.87   0.00   0.00      0      0    161.2   0.00   0.00   0.57   1.15   2.76   3.57   3.65   2.86   0.00   0.00   0.00   0.00   0.00      0      0      0       0      35
 1976 332   104    44   12.0      3   1.39    891     70      0    980    961      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   2.50   0.00   0.00      0      0    156.1   0.00   0.00   0.59   1.23   2.83   3.61   3.67   3.21   0.00   0.00   0.00   0.00   0.00      0      0      0       0      40
 1976 333   105    45   12.0      3   1.53   1002     96      0   1046   1099      0    0.0  0.000      0      0  0.000  0.000  0.027  0.000   2.26   0.00   0.00      0      0    152.3   0.00   0.00   0.60   1.37   2.96   3.69   3.72   3.79   0.00   0.00   0.00   0.00   0.00      0      0      0       0      45
 1976 334   106    46   12.0      3   1.64   1098    123      0   1149   1221      0    0.0  0.000      0      0  0.000  0.000  0.049  0.000   2.09   0.00   0.00      0      0    149.0   0.00   0.00   0.62   1.48   2.94   3.52   3.52   4.00   0.10   0.00   0.00   0.00   0.00      0      0      0       0      50
 1976 335   107    47   13.0      3   1.71   1175    148      0   1203   1322      0    0.0  0.000      0      0  0.000  0.000  0.069  0.011   2.01   0.00   0.00      0      0    145.9   0.00   0.00   0.63   1.49   2.83   3.32   3.29   3.93   0.19   0.00   0.00   0.00   0.00      0      0      0       0      56
 1976 336   108    48   13.0      3   1.78   1246    173      0   1331   1420      0    0.0  0.000      0      0  0.000  0.000  0.083  0.021   1.95   0.00   0.00      0      0    143.0   0.00   0.00   0.64   1.67   2.90   3.24   3.17   4.00   0.47   0.00   0.00   0.00   0.00      0      0      0       0      62
 1976 337   109    49   13.0      3   1.85   1318    202      0   1436   1520      0    0.0  0.000      0      0  0.000  0.000  0.091  0.050   1.90   0.00   0.00      0      0    140.1   0.00   0.00   0.65   1.79   2.93   3.15   3.05   3.88   0.75   0.00   0.00   0.00   0.00      0      0      0       0      69
 1976 338   110    50   14.0      3   1.94   1417    249      0   1554   1667      0    0.0  0.000      0      0  0.000  0.000  0.095  0.075   1.80   0.00   0.00      0      0    136.9   0.00   0.00   0.66   1.93   2.98   3.09   2.95   3.69   1.12   0.00   0.00   0.00   0.00      0      0      0       0      76
 1976 339   111    51   14.0      3   2.05   1533    314      0   1634   1847      0    0.0  0.000      0      0  0.000  0.000  0.099  0.103   1.69   0.00   0.00      0      0    133.7   0.00   0.00   0.68   1.96   2.94   2.98   2.82   3.49   1.36   0.00   0.00   0.00   0.00      0      0      0       0      84
 1976 340   112    52   14.0      3   2.14   1642    384      0   1734   2027      0    0.0  0.000      0      0  0.000  0.000  0.110  0.116   1.60   0.00   0.00      0      0    130.6   0.00   0.00   0.69   2.03   2.94   2.91   2.72   3.32   1.68   0.00   0.00   0.00   0.00      0      0      0       0      92
 1976 341   113    53   15.0      3   2.22   1745    460      0   1768   2205      0    0.0  0.000      0      0  0.000  0.000  0.126  0.130   1.53   0.00   0.00      0      0    127.5   0.00   0.00   0.71   1.98   2.83   2.77   2.59   3.14   1.75   0.00   0.00   0.00   0.00      0      0      0       0     100
 1976 342   114    54   15.0      3   2.27   1826    526      0   1849   2351      0    0.0  0.000      0      0  0.000  0.000  0.139  0.125   1.48   0.00   0.00      0      0    124.6   0.00   0.00   0.72   2.02   2.83   2.71   2.51   3.01   2.02   0.00   0.00   0.00   0.00      0      0      0       0     109
 1976 343   115    55   15.0      3   2.28   1872    566      0   1961   2437      0    0.0  0.000      0      0  0.000  0.000  0.155  0.123   1.47   0.00   0.00      0      0    121.8   0.00   0.00   0.73   2.13   2.90   2.71   2.49   2.94   2.41   0.00   0.00   0.00   0.00      0      0      0       0     118
 1976 344   116    56   16.0      3   2.36   1992    666      0   1964   2658      0    0.0  0.000      0      0  0.000  0.000  0.163  0.120   1.40   0.00   0.00      0      0    118.7   0.00   0.00   0.74   2.06   2.80   2.61   2.39   2.82   2.35   0.00   0.00   0.00   0.00      0      0      0       0     128
 1976 345   117    57   16.0      3   2.42   2088    786      0   1967   2874      0    0.0  0.000      0      0  0.000  0.000  0.157  0.099   1.34   0.00   0.00      0      0    115.9   0.00   0.00   0.75   2.01   2.72   2.53   2.31   2.72   2.32   0.00   0.00   0.00   0.00      0      0      0       0     138
 1976 346   118    58   16.0      3   2.46   2176    929      0   2022   3105      0    0.0  0.000      0      0  0.000  0.000  0.172  0.063   1.27   0.00   0.00      0      0    113.1   0.00   0.00   0.76   2.09   2.78   2.55   2.32   2.70   2.52   0.00   0.00   0.00   0.00      0      0      0       0     148
 1976 347   119    59   17.0      3   2.49   2263   1103      0   2062   3365      0    0.0  0.000      0      0  0.000  0.000  0.182  0.019   1.21   0.00   0.00      0      0    110.3   0.00   0.00   0.78   2.17   2.85   2.59   2.34   2.70   2.69   0.00   0.00   0.00   0.00      0      0      0       0     158
 1976 348   120    60   17.0      3   2.49   2320   1233      0   2062   3553      0    0.0  0.000      0      0  0.000  0.000  0.195  0.000   1.17   0.00   0.00      0      0    107.5   0.00   0.00   0.79   2.18   2.86   2.59   2.34   2.70   2.71   0.00   0.00   0.00   0.00      0      0      0       0     168
 1976 349   121    61   18.0      3   2.47   2361   1332      0   2064   3694      0    0.0  0.000      0      0  0.000  0.000  0.240  0.124   1.15   0.00   0.00      0      0    104.6   0.00   0.00   0.81   2.20   2.87   2.59   2.34   2.69   2.75   0.00   0.00   0.00   0.00      0      0      0       0     179
 1976 350   122    62   18.0      3   2.43   2392   1413      0   2065   3805      0    0.0  0.000      0      0  0.000  0.000  0.267  0.228   1.13   0.00   0.00      0      0    101.7   0.00   0.00   0.82   2.21   2.88   2.60   2.34   2.69   2.77   0.00   0.00   0.00   0.00      0      0      0       0     189
 1976 351   123    63   18.0      3   2.39   2420   1489      0   2153   3908      0    0.0  0.000      0      0  0.000  0.000  0.277  0.069   1.12   0.00   0.00      0      0     98.9   0.00   0.00   0.83   2.35   2.99   2.63   2.34   2.65   2.95   0.00   0.00   0.00   0.00      0      0      0       0     199
 1976 352   124    64   18.0      3   2.36   2452   1584      0   2255   4036      0    0.0  0.000      0      0  0.000  0.000  0.270  0.230   1.10   0.00   0.00      0      0     96.2   0.00   0.00   0.84   2.48   3.08   2.64   2.33   2.57   3.10   0.00   0.00   0.00   0.00      0      0      0       0     210
 1976 353   125    65   19.0      3   2.33   2486   1686      0   2309   4172      0    0.0  0.000      0      0  0.000  0.000  0.260  0.218   1.08   0.00   0.00      0      0     93.7   0.00   0.00   0.85   2.50   3.06   2.58   2.26   2.47   3.10   0.00   0.00   0.00   0.00      0      0      0       0     221
 1976 354   126    66   19.0      3   2.30   2520   1796      0   2337   4316      0    0.0  0.000      0      0  0.000  0.000  0.253  0.207   1.06   0.00   0.00      0      0     91.2   0.00   0.00   0.86   2.46   2.99   2.50   2.18   2.36   3.03   0.00   0.00   0.00   0.00      0      0      0       0     233
 1976 355   127    67   19.0      3   2.27   2553   1900      0   2405   4452      0    0.0  0.000      0      0  0.000  0.000  0.263  0.186   1.05   0.00   0.00      0      0     88.9   0.00   0.00   0.88   2.55   3.05   2.51   2.16   2.32   3.08   0.00   0.00   0.00   0.00      0      0      0       0     245
 1976 356   128    68   19.0      3   2.24   2583   1996      0   2473   4579      0    0.0  0.000      0      0  0.000  0.000  0.276  0.163   1.03   0.00   0.00      0      0     86.6   0.00   0.00   0.89   2.67   3.15   2.54   2.18   2.29   3.14   0.00   0.00   0.00   0.00      0      0      0       0     257
 1976 357   129    69   19.0      3   2.20   2610   2084      0   2516   4694      0    0.0  0.000      0      0  0.000  0.000  0.286  0.143   1.02   0.00   0.00      0      0     84.3   0.00   0.00   0.90   2.74   3.20   2.55   2.17   2.26   3.13   0.00   0.00   0.00   0.00      0      0      0       0     269
 1976 358   130    70   19.0      3   2.16   2638   2173      0   2610   4812      0    0.0  0.000      0      0  0.000  0.000  0.292  0.140   1.01   0.00   0.00      0      0     82.0   0.00   0.00   0.91   3.10   3.56   2.78   2.34   2.38   3.32   0.03   0.00   0.00   0.00      0      0      0       0     282
 1976 359   131    71   19.0      3   2.14   2673   2283      0   2664   4956      0    0.0  0.000      0      0  0.000  0.000  0.293  0.120   1.00   0.00   0.00      0      0     79.9   0.00   0.00   0.92   3.32   3.77   2.91   2.44   2.45   3.40   0.08   0.00   0.00   0.00      0      0      0       0     295
 1976 360   132    72   19.0      4   2.07   2644   1943      0   2706   5072      0    0.0  0.000    485      0  0.000  0.000  0.292  0.101   1.09   0.00   0.10      0    485     78.5   0.00   0.00   0.93   3.50   3.95   3.03   2.52   2.50   3.45   0.13   0.00   0.00   0.00      0      0      0       0     308
 1976 361   133    73   19.0      4   2.02   2613   1982      0   2776   5176      0    0.0  0.000    581      0  0.000  0.000  0.294  0.228   1.11   0.00   0.11      0    581     77.1   0.00   0.00   0.94   3.78   4.00   3.20   2.64   2.59   3.51   0.23   0.00   0.00   0.00      0      0      0       0     321
 1976 362   134    74   19.0      4   1.97   2580   2023      0   2870   5287      0    0.0  0.000    684      0  0.000  0.000  0.185  0.202   1.13   0.00   0.13      0    684     76.3   0.00   0.00   0.95   4.00   4.00   3.42   2.81   2.71   3.58   0.39   0.00   0.00   0.00      0      0      0       0     335
 1976 363   135    75   19.0      4   1.93   2546   2062      0   2972   5391      0    0.0  0.000    783      0  0.000  0.000  0.174  0.214   1.15   0.00   0.15      0    783     75.6   0.00   0.00   0.96   4.00   4.00   3.66   2.98   2.84   3.65   0.57   0.00   0.00   0.00      0      0      0       0     350
 1976 364   136    76   19.0      4   1.89   2509   2111      0   3057   5523      0    0.0  0.000    903      0  0.000  0.000  0.162  0.202   1.17   0.00   0.16      0    903     75.2   0.00   0.00   0.97   4.00   4.00   3.85   3.12   2.94   3.70   0.73   0.00   0.00   0.00      0      0      0       0     365
 1976 365   137    77   19.0      4   1.85   2471   2176      0   3109   5714      0    0.0  0.000   1067      0  0.000  0.000  0.150  0.180   1.18   0.00   0.19      0   1067     74.9   0.00   0.00   0.98   4.00   4.00   3.97   3.21   3.00   3.73   0.84   0.00   0.00   0.00      0      0      0       0     380
 1976 366   138    78   19.0      4   1.82   2429   2243      0   3118   5907      0    0.0  0.000   1235      0  0.000  0.000  0.138  0.163   1.19   0.00   0.21      0   1235     74.9   0.00   0.00   0.99   4.00   4.00   4.00   3.23   3.01   3.73   0.88   0.00   0.00   0.00      0      0      0       0     395
 1977 001   139    79   19.0      4   1.79   2386   2304      0   3148   6077      0    0.0  0.000   1387      0  0.000  0.000  0.129  0.146   1.21   0.00   0.23      0   1387     75.0   0.00   0.00   1.00   4.00   4.00   4.00   3.28   3.05   3.75   0.96   0.00   0.00   0.00      0      0      0       0     411
 1977 002   140    80   19.0      4   1.76   2341   2351      0   3139   6196      0    0.0  0.000   1504      0  0.000  0.000  0.121  0.136   1.23   0.00   0.24      0   1504     75.3   0.00   0.00   1.01   4.00   4.00   3.99   3.28   3.04   3.73   0.97   0.00   0.00   0.00      0      0      0       0     427
 1977 003   141    81   19.0      4   1.74   2294   2410      0   3183   6355      0    0.0  0.000   1651      0  0.000  0.000  0.113  0.133   1.24   0.00   0.26      0   1651     75.8   0.00   0.00   1.02   4.00   4.00   4.00   3.35   3.09   3.76   1.08   0.00   0.00   0.00      0      0      0       0     442
 1977 004   142    82   19.0      4   1.72   2244   2474      0   3231   6529      0    0.0  0.000   1811      0  0.000  0.000  0.105  0.118   1.25   0.00   0.28      0   1811     76.4   0.00   0.00   1.03   4.00   4.00   4.00   3.43   3.15   3.78   1.19   0.00   0.00   0.00      0      0      0       0     458
 1977 005   143    83   19.0      4   1.69   2193   2537      0   3270   6699      0    0.0  0.000   1969      0  0.000  0.000  0.097  0.106   1.26   0.00   0.29      0   1969     77.3   0.00   0.00   1.04   4.00   4.00   4.00   3.50   3.19   3.80   1.29   0.00   0.00   0.00      0      0      0       0     474
 1977 006   144    84   19.0      5   1.66   2193   2537    207   3289   6907   1936   10.7  0.030   2176      7  0.000  0.000  0.163  0.158   1.22   9.53   0.32      0   2176     75.7   0.00   0.00   1.05   4.00   4.00   4.00   3.53   3.22   3.81   1.34   0.00   0.00   0.00      0      0      0       0     491
 1977 007   145    85   19.0      5   1.62   2193   2537    372   3316   7071   1936   19.2  0.053   2341      7  0.000  0.000  0.172  0.161   1.20  15.89   0.33      0   2341     74.1   0.00   0.00   1.06   4.00   4.00   4.00   3.58   3.25   3.82   1.41   0.00   0.00   0.00      0      0      0       0     507
 1977 008   146    86   19.0      5   1.59   2193   2537    537   3337   7236   1936   27.7  0.074   2506      7  0.000  0.000  0.173  0.143   1.18  21.42   0.35      0   2506     72.5   0.00   0.00   1.08   4.00   4.00   4.00   3.62   3.28   3.83   1.48   0.00   0.00   0.00      0      0      0       0     524
 1977 009   147    87   19.0      5   1.55   2193   2537    701   3358   7400   1936   36.2  0.095   2670      7  0.000  0.000  0.173  0.124   1.15  26.26   0.36      0   2670     70.9   0.00   0.00   1.09   4.00   4.00   4.00   3.66   3.30   3.84   1.53   0.00   0.00   0.00      0      0      0       0     541
 1977 010   148    88   19.0      5   1.52   2193   2537    866   3344   7565   1936   44.7  0.114   2835      7  0.000  0.000  0.176  0.113   1.13  30.54   0.37      0   2835     69.3   0.00   0.00   1.10   3.99   3.99   3.99   3.65   3.29   3.82   1.53   0.00   0.00   0.00      0      0      0       0     557
 1977 011   149    89   19.0      5   1.49   2193   2537   1030   3360   7729   1936   53.2  0.133   2999      7  0.000  0.000  0.178  0.102   1.10  34.35   0.39      0   2999     67.8   0.00   0.00   1.11   4.00   4.00   4.00   3.68   3.31   3.82   1.58   0.00   0.00   0.00      0      0      0       0     574
 1977 012   150    90   19.0      5   1.45   2193   2537   1195   3367   7894   1936   61.7  0.151   3164      7  0.000  0.000  0.181  0.132   1.08  37.77   0.40      0   3164     66.2   0.00   0.00   1.13   4.00   4.00   4.00   3.70   3.32   3.82   1.61   0.00   0.00   0.00      0      0      0       0     591
 1977 013   151    91   19.0      5   1.42   2193   2537   1360   3379   8059   1936   70.2  0.169   3328      7  0.000  0.000  0.184  0.125   1.05  40.85   0.41      0   3328     64.7   0.00   0.00   1.14   4.00   4.00   4.00   3.73   3.34   3.83   1.64   0.00   0.00   0.00      0      0      0       0     608
 1977 014   152    92   19.0      5   1.39   2193   2537   1524   3390   8223   1936   78.7  0.185   3493      7  0.000  0.000  0.186  0.108   1.03  43.63   0.42      0   3493     63.2   0.00   0.00   1.15   4.00   4.00   4.00   3.76   3.36   3.83   1.67   0.00   0.00   0.00      0      0      0       0     625
 1977 015   153    93   19.0      5   1.35   2193   2537   1689   3382   8388   1936   87.2  0.201   3658      7  0.000  0.000  0.188  0.095   1.01  46.17   0.44      0   3658     61.7   0.00   0.00   1.16   4.00   4.00   4.00   3.75   3.35   3.82   1.67   0.00   0.00   0.00      0      0      0       0     642
 1977 016   154    94   19.0      5   1.32   2193   2537   1853   3370   8552   1936   95.7  0.217   3822      7  0.000  0.000  0.190  0.083   0.99  48.49   0.45      0   3822     60.3   0.00   0.00   1.18   4.00   4.00   3.99   3.74   3.34   3.80   1.67   0.00   0.00   0.00      0      0      0       0     658
 1977 017   155    95   19.0      5   1.29   2193   2537   2018   3369   8717   1936  104.2  0.231   3987      7  0.000  0.000  0.193  0.067   0.96  50.61   0.46      0   3987     58.8   0.00   0.00   1.19   4.00   4.00   4.00   3.75   3.34   3.79   1.68   0.00   0.00   0.00      0      0      0       0     675
 1977 018   156    96   19.0      5   1.26   2193   2537   2182   3371   8881   1936  112.7  0.246   4151      7  0.000  0.000  0.196  0.049   0.94  52.57   0.47      0   4151     57.4   0.00   0.00   1.20   4.00   4.00   4.00   3.76   3.35   3.79   1.69   0.00   0.00   0.00      0      0      0       0     692
 1977 019   157    97   19.0      5   1.23   2193   2537   2347   3371   9046   1936  121.2  0.259   4316      7  0.000  0.000  0.200  0.032   0.92  54.38   0.48      0   4316     55.9   0.00   0.00   1.21   4.00   4.00   4.00   3.78   3.36   3.79   1.70   0.00   0.00   0.00      0      0      0       0     709
 1977 020   158    98   19.0      5   1.20   2193   2537   2512   3372   9211   1936  129.7  0.273   4480      7  0.000  0.000  0.209  0.013   0.89  56.06   0.49      0   4480     54.5   0.00   0.00   1.22   4.00   4.00   4.00   3.79   3.36   3.78   1.70   0.00   0.00   0.00      0      0      0       0     726
 1977 021   159    99   19.0      5   1.16   2193   2535   2676   3355   9373   1936  138.2  0.286   4645      7  0.000  0.000  0.223  0.000   0.88  57.61   0.50      0   4645     53.1   0.00   0.00   1.22   4.00   4.00   4.00   3.79   3.36   3.78   1.70   0.00   0.00   0.00      0      0      0       0     743
 1977 022   160   100   19.0      5   1.13   2193   2537   2841   3352   9540   1936  146.7  0.298   4810      7  0.000  0.000  0.233  0.000   0.85  59.06   0.50      0   4810     51.7   0.00   0.00   1.23   4.00   4.00   4.00   3.80   3.37   3.77   1.70   0.01   0.00   0.00      0      0      0       0     759
 1977 023   161   101   19.0      5   1.10   2193   2476   3005   3335   9644   1936  155.2  0.312   4974      7  0.000  0.000  0.250  0.000   0.84  60.42   0.52      0   4974     50.3   0.00   0.00   1.23   4.00   4.00   4.00   3.80   3.37   3.77   1.70   0.01   0.00   0.00      0      0      0       0     776
 1977 024   162   102   19.0      5   1.07   2193   2446   3170   3319   9778   1936  163.7  0.324   5139      7  0.000  0.000  0.266  0.000   0.83  61.69   0.53      0   5139     48.9   0.00   0.00   1.23   4.00   4.00   4.00   3.80   3.37   3.77   1.70   0.01   0.00   0.00      0      0      0       0     793
 1977 025   163   103   19.0      5   1.04   2193   2469   3335   3314   9966   1936  172.2  0.335   5303      7  0.000  0.000  0.269  0.000   0.80  62.88   0.53      0   5303     47.5   0.00   0.00   1.23   4.00   4.00   4.00   3.80   3.37   3.77   1.69   0.01   0.00   0.00      0      0      0       0     810
 1977 026   164   104   19.0      5   1.01   2193   2494   3499   3310  10155   1936  180.7  0.345   5468      7  0.000  0.000  0.277  0.000   0.78  63.99   0.54      0   5468     46.2   0.00   0.00   1.24   4.00   4.00   4.00   3.80   3.37   3.76   1.69   0.01   0.00   0.00      0      0      0       0     826
 1977 027   165   105   19.0      5   0.98   2193   2517   3664   3304  10343   1936  189.2  0.354   5633      7  0.000  0.000  0.297  0.000   0.76  65.04   0.54      0   5633     44.9   0.00   0.00   1.25   4.00   4.00   4.00   3.80   3.36   3.75   1.69   0.02   0.00   0.00      0      0      0       0     843
 1977 028   166   106   19.0      5   0.95   2193   2475   3828   3288  10466   1936  197.7  0.366   5797      7  0.000  0.000  0.320  0.000   0.75  66.04   0.55      0   5797     43.5   0.00   0.00   1.25   4.00   4.00   4.00   3.80   3.36   3.75   1.69   0.02   0.00   0.00      0      0      0       0     859
 1977 029   167   107   19.0      5   0.92   2193   2463   3993   3271  10618   1936  206.2  0.376   5962      7  0.000  0.000  0.342  0.000   0.73  66.97   0.56      0   5962     42.2   0.00   0.00   1.25   4.00   4.00   4.00   3.80   3.36   3.75   1.69   0.02   0.00   0.00      0      0      0       0     876
 1977 030   168   108   19.0      5   0.90   2193   2372   4157   3255  10692   1936  214.7  0.389   6126      7  0.000  0.000  0.351  0.000   0.73  67.86   0.57      0   6126     40.8   0.00   0.00   1.25   4.00   4.00   4.00   3.80   3.36   3.75   1.69   0.02   0.00   0.00      0      0      0       0     892
 1977 031   169   109   19.0      5   0.87   2193   2354   4322   3239  10838   1936  223.2  0.399   6291      7  0.000  0.000  0.368  0.000   0.71  68.70   0.58      0   6291     39.5   0.00   0.00   1.25   4.00   4.00   4.00   3.80   3.36   3.75   1.69   0.02   0.00   0.00      0      0      0       0     908
 1977 032   170   110   19.0      5   0.84   2193   2297   4487   3223  10946   1936  231.7  0.410   6455      7  0.000  0.000  0.365  0.000   0.70  69.50   0.59      0   6455     38.3   0.00   0.00   1.25   4.00   4.00   4.00   3.80   3.36   3.75   1.69   0.02   0.00   0.00      0      0      0       0     924
 1977 033   171   111   19.0      5   0.81   2193   2272   4651   3206  11086   1936  240.2  0.420   6620      7  0.000  0.000  0.382  0.000   0.69  70.26   0.60      0   6620     37.0   0.00   0.00   1.25   4.00   4.00   4.00   3.80   3.36   3.75   1.69   0.02   0.00   0.00      0      0      0       0     941
 1977 034   172   112   19.0      5   0.79   2193   2256   4816   3190  11234   1936  248.7  0.429   6785      7  0.000  0.000  0.389  0.000   0.67  70.98   0.60      0   6785     35.8   0.00   0.00   1.25   4.00   4.00   4.00   3.80   3.36   3.75   1.69   0.02   0.00   0.00      0      0      0       0     957
 1977 035   173   113   19.0      5   0.76   2193   2218   4980   3174  11361   1936  257.2  0.438   6949      7  0.000  0.000  0.404  0.000   0.66  71.67   0.61      0   6949     34.6   0.00   0.00   1.25   4.00   4.00   4.00   3.80   3.36   3.75   1.69   0.02   0.00   0.00      0      0      0       0     973
 1977 036   174   114   19.0      5   0.73   2193   2181   5145   3159  11488   1936  265.7  0.448   7114      7  0.000  0.000  0.421  0.000   0.65  72.32   0.62      0   7114     33.4   0.00   0.00   1.25   4.00   4.00   4.00   3.80   3.36   3.75   1.69   0.02   0.00   0.00      0      0      0       0     988
 1977 037   175   115   19.0      5   0.71   2193   2144   5310   3143  11616   1936  274.2  0.457   7278      7  0.000  0.000  0.431  0.000   0.64  72.95   0.63      0   7278     32.3   0.00   0.00   1.25   4.00   4.00   4.00   3.80   3.36   3.75   1.69   0.02   0.00   0.00      0      0      0       0    1004
 1977 038   176   116   19.0      5   0.68   2193   2066   5474   3127  11702   1936  282.7  0.468   7443      7  0.000  0.000  0.442  0.000   0.64  73.55   0.64      0   7443     31.1   0.00   0.00   1.25   4.00   4.00   4.00   3.80   3.36   3.75   1.69   0.02   0.00   0.00      0      0      0       0    1020
 1977 039   177   117   19.0      5   0.66   2193   1990   5639   3111  11791   1936  291.2  0.478   7608      7  0.000  0.000  0.448  0.000   0.63  74.12   0.65      0   7608     30.0   0.00   0.00   1.25   4.00   4.00   4.00   3.80   3.36   3.75   1.69   0.02   0.00   0.00      0      0      0       0    1036
