*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Oct 18, 2016; 16:14:02

*RUN   1        : SIMPLE TEMPLAT EXPERIMEN
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : SANT7001 MZ                                                   
 TREATMENT  1   : SIMPLE TEMPLAT EXPERIMEN

@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD   RL1D   RL2D   RL3D   RL4D   RL5D   RL6D   RL7D   RL8D   RL9D   RL10   CDAD   LDAD   SDAD   SNW0C   SNW1C
 1970 307    79    19    4.0      1   0.05     14     14      0     29     28      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.26   0.00   0.00      0      0    343.6   0.00   0.00   0.27   0.26   0.27   0.12   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 1970 308    80    20    4.0      1   0.07     22     14      0     33     36      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.24   0.00   0.00      0      0    312.5   0.00   0.00   0.28   0.26   0.30   0.15   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       1
 1970 309    81    21    5.0      1   0.09     33     14      0     39     47      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.23   0.00   0.00      0      0    289.1   0.00   0.00   0.29   0.26   0.35   0.19   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       1
 1970 310    82    22    5.0      1   0.12     44     14      0     43     58      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.33   0.00   0.00      0      0    272.5   0.00   0.00   0.30   0.26   0.38   0.22   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       1
 1970 311    83    23    6.0      1   0.15     58     14      0     57     72      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.24   0.00   0.00      0      0    257.0   0.00   0.00   0.31   0.28   0.48   0.32   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       1
 1970 312    84    24    6.0      1   0.18     73     14      0     64     87      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.32   0.00   0.00      0      0    245.1   0.00   0.00   0.32   0.28   0.52   0.38   0.01   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       1
 1970 313    85    25    6.0      1   0.21     90     14      0     77    104      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.33   0.00   0.00      0      0    234.8   0.00   0.00   0.33   0.30   0.61   0.48   0.02   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       2
 1970 314    86    26    7.0      1   0.23    102     14      0     95    116      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.55   0.00   0.00      0      0    229.0   0.00   0.00   0.33   0.33   0.72   0.60   0.05   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       2
 1970 315    87    27    7.0      1   0.25    113     14      0    110    127      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.57   0.00   0.00      0      0    223.9   0.00   0.00   0.34   0.34   0.81   0.70   0.07   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       3
 1970 316    88    28    7.0      2   0.29    123     14      0    136    137      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.63   0.00   0.00      0      0    235.4   0.00   0.00   0.35   0.36   0.97   0.88   0.12   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       3
 1970 317    89    29    7.0      2   0.33    145     14      0    173    159      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.34   0.00   0.00      0      0    227.2   0.00   0.00   0.37   0.39   1.17   1.12   0.22   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       4
 1970 318    90    30    8.0      2   0.38    174     14      0    215    188      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.25   0.00   0.00      0      0    219.1   0.00   0.00   0.39   0.42   1.38   1.38   0.36   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       5
 1970 319    91    31    8.0      2   0.44    210     14      0    260    224      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.80   0.00   0.00      0      0    210.7   0.00   0.00   0.41   0.45   1.59   1.64   0.54   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       6
 1970 320    92    32    8.0      2   0.49    240     14      0    308    254      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.73   0.00   0.00      0      0    204.9   0.00   0.00   0.42   0.46   1.76   1.92   0.76   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       7
 1970 321    93    33    8.0      3   0.51    261     14      0    369    275      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   3.65   0.00   0.00      0      0    194.0   0.00   0.00   0.43   0.48   1.94   2.27   1.09   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       9
 1970 322    94    34    9.0      3   0.53    281     14      0    440    295      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   3.58   0.00   0.00      0      0    189.5   0.00   0.00   0.44   0.51   2.12   2.66   1.49   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0      10
 1970 323    95    35    9.0      3   0.58    312     14      0    509    326      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   3.55   0.00   0.00      0      0    186.0   0.00   0.00   0.45   0.54   2.25   3.03   1.93   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0      13
 1970 324    96    36    9.0      3   0.63    343     15      0    535    358      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   3.51   0.00   0.00      0      0    182.9   0.00   0.00   0.46   0.55   2.27   3.16   2.10   0.02   0.00   0.00   0.00   0.00   0.00      0      0      0       0      15
 1970 325    97    37    9.0      3   0.62    360     15      0    603    375      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   3.53   0.00   0.00      0      0    173.6   0.00   0.00   0.47   0.59   2.30   3.51   2.54   0.10   0.00   0.00   0.00   0.00   0.00      0      0      0       0      18
 1970 326    98    38    9.0      3   0.66    384     16      0    684    400      0    0.0  0.000      0      0  0.000  0.000  0.022  0.000   3.47   0.00   0.00      0      0    171.8   0.00   0.00   0.48   0.64   2.34   3.85   3.05   0.25   0.00   0.00   0.00   0.00   0.00      0      0      0       0      21
